pitcher_id,pitcher_name,pitcher_hand,count_balls,count_strikes,outs,pitch_number,pitch_type,pitch_result,pitch_result_subcat,atbat_result,speed_start,speed_end,movement_horizontal,movement_vertical,pitch_spin_rate,pitch_location_x,pitch_location_y,break_sharpness,break_amount,break_location,nasty,batter_id,batter_name,batter_stance,score_pitcher,score_batter,atbat_id,inning,inning_top,on_1b,on_2b,on_3b,game_id,home_team,away_team,stadium,pitch_location_category,previous_pitch_type,previous_pitch_location
593372,Carlos Martinez,R,0,0,1,1,Two-Seamer,Ball,Ball,Single,91.2,83.5,7.48,9.94,2423.853,-1.6,1.98,-33,4.3,23.8,40,518792,Jason Heyward,L,0,0,2016015415,1,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,left,none,none
593372,Carlos Martinez,R,1,0,1,2,Four-Seamer,Ball,Ball,Single,90.8,83.1,5.24,10.55,2284.681,-0.01,1.2,-25.1,3.9,23.8,21,518792,Jason Heyward,L,0,0,2016015415,1,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,low,Two-Seamer,left
593372,Carlos Martinez,R,2,0,1,3,Four-Seamer,Ball,Ball,Single,91.1,83.8,5.33,11.02,2400.114,1.21,1.52,-30.2,3.7,23.8,67,518792,Jason Heyward,L,0,0,2016015415,1,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,low and right,Four-Seamer,low
593372,Carlos Martinez,R,3,0,1,4,Four-Seamer,Ball,Ball,Single,90.6,83.7,4.04,8.38,1825.515,0.99,2.59,-18.2,4.3,23.8,52,518792,Jason Heyward,L,0,0,2016015415,1,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,middle right,Four-Seamer,low and right
593372,Carlos Martinez,R,0,0,1,1,Slider,Swinging Strike,Foul Ball,Flyout,86.3,79.4,4.01,0.36,740.567,0.51,1.73,-12,8.5,23.8,76,518792,Jason Heyward,L,4,0,2016015434,3,TRUE,FALSE,TRUE,FALSE,201600206,sln,chn,Busch Stadium,bottom right,none,none
593372,Carlos Martinez,R,0,1,1,2,Four-Seamer,"In Play, Out","In Play, Out",Flyout,91.6,84.9,-3.11,11.29,2331.577,1.19,2.57,19.3,3,23.8,46,518792,Jason Heyward,L,4,0,2016015434,3,TRUE,FALSE,TRUE,FALSE,201600206,sln,chn,Busch Stadium,right,Slider,bottom right
593372,Carlos Martinez,R,0,0,1,1,Four-Seamer,Swinging Strike,Swinging Strike,Flyout,90,83.4,4.65,8.73,1937.552,-0.44,4.19,-20.7,4.1,23.8,50,518792,Jason Heyward,L,4,0,2016015451,5,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,high,none,none
593372,Carlos Martinez,R,0,1,1,2,Four-Seamer,Ball,Ball,Flyout,90.7,84.1,5.23,10.37,2288.122,0.62,1.49,-27.8,3.8,23.8,60,518792,Jason Heyward,L,4,0,2016015451,5,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,low,Four-Seamer,high
593372,Carlos Martinez,R,1,1,1,3,Four-Seamer,Swinging Strike,Foul Ball,Flyout,89.4,83.3,5.54,9.23,2106.087,-0.24,3.59,-26.2,4.2,23.9,46,518792,Jason Heyward,L,4,0,2016015451,5,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,top center,Four-Seamer,low
593372,Carlos Martinez,R,1,2,1,4,Curveball,"In Play, Out","In Play, No Out",Flyout,73.7,68.5,-6.2,-5.21,1269.201,-0.03,1.26,11.6,13.5,23.8,28,518792,Jason Heyward,L,4,0,2016015451,5,TRUE,FALSE,FALSE,FALSE,201600206,sln,chn,Busch Stadium,low,Four-Seamer,top center
593372,Carlos Martinez,R,0,0,2,1,Knuckle Curve,Swinging Strike,Called Strike,Groundout,80.7,74.6,4.62,-9.72,1835.482,-0.279,1.479,-8.2,13.5,23.8,75,518792,Jason Heyward,L,0,4,2016052023,1,TRUE,FALSE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low,none,none
593372,Carlos Martinez,R,0,1,2,2,Four-Seamer,Swinging Strike,Swinging Strike,Groundout,91.8,85.2,-1.24,7.25,1474.008,-0.393,4.086,4.9,4.2,23.8,31,518792,Jason Heyward,L,0,4,2016052023,1,TRUE,FALSE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,high,Knuckle Curve,low
593372,Carlos Martinez,R,0,2,2,3,Knuckle Curve,Ball,Ball,Groundout,80.9,74.5,3.84,-10.33,1868.816,0.243,0.83,-6.9,13.8,23.8,34,518792,Jason Heyward,L,0,4,2016052023,1,TRUE,FALSE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low,Four-Seamer,high
593372,Carlos Martinez,R,1,2,2,4,Knuckle Curve,Ball,Ball,Groundout,80.8,74.3,3.97,-10.01,1823.543,0.139,1.069,-7.2,13.7,23.8,30,518792,Jason Heyward,L,0,4,2016052023,1,TRUE,FALSE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low,Knuckle Curve,low
593372,Carlos Martinez,R,2,2,2,5,Four-Seamer,"In Play, Out","In Play, Out",Groundout,92.1,85,-3.09,5.16,1200.047,-0.825,2.909,12.3,5.3,23.8,50,518792,Jason Heyward,L,0,4,2016052023,1,TRUE,FALSE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,middle left,Knuckle Curve,low
593372,Carlos Martinez,R,0,0,2,1,Curveball,Swinging Strike,Swinging Strike,Double,73.6,67.7,12.39,-7.16,2217.979,1.041,1.791,-19.7,15,23.8,100,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,right,none,none
593372,Carlos Martinez,R,0,1,2,2,Curveball,Ball,Ball,Double,73.5,68.4,12.16,-7.61,2229.392,1.345,-0.087,-18.9,15.3,23.9,12,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low and right,Curveball,right
593372,Carlos Martinez,R,1,1,2,3,Cutter,Swinging Strike,Swinging Strike,Double,84.9,78.9,3.64,3.73,962.023,1.345,1.156,-13.6,7.2,23.8,20,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low and right,Curveball,low and right
593372,Carlos Martinez,R,1,2,2,4,Curveball,Ball,Ball,Double,72.7,67.5,10.16,-8.78,2060.741,0.104,0.012,-15.1,15.7,23.8,15,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low,Cutter,low and right
593372,Carlos Martinez,R,2,2,2,5,Cutter,Ball,Ball,Double,84.6,78.8,4.71,2.62,989.631,0.993,0.844,-15.4,7.8,23.9,44,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,low,Curveball,low
593372,Carlos Martinez,R,3,2,2,6,Curveball,Swinging Strike,Swinging Strike,Double,74.4,69.2,12.02,-7.67,2265.458,-0.658,1.622,-18.8,14.7,23.8,53,518792,Jason Heyward,L,1,1,2016052037,2,TRUE,TRUE,TRUE,FALSE,201600685,sln,chn,Busch Stadium,bottom left,Cutter,low
593372,Carlos Martinez,R,0,0,0,1,Four-Seamer,Swinging Strike,Called Strike,Strikeout,87.6,81.8,-0.36,6.03,1163.666,0.15,2.471,-0.3,5.4,23.9,41,518792,Jason Heyward,L,2,1,2016052053,4,TRUE,FALSE,FALSE,FALSE,201600685,sln,chn,Busch Stadium,middle center,none,none
593372,Carlos Martinez,R,0,1,0,2,Changeup,"In Play, Out","In Play, No Out",Strikeout,80.7,74.7,-5.51,1.09,974.659,0.683,1.749,11.8,9.1,23.8,54,518792,Jason Heyward,L,2,1,2016052053,4,TRUE,FALSE,FALSE,FALSE,201600685,sln,chn,Busch Stadium,bottom right,Four-Seamer,middle center
593372,Carlos Martinez,R,0,0,0,1,Changeup,Ball,Ball,Grounded Into DP,84.4,77.9,8.57,1.71,1589.739,-0.459,3.703,-22.4,8.3,23.8,73,518792,Jason Heyward,L,1,1,2016130371,2,FALSE,TRUE,TRUE,FALSE,201601710,chn,sln,Wrigley Field,high,none,none
593372,Carlos Martinez,R,1,0,0,2,Sinker,"In Play, Out","In Play, Runs",Grounded Into DP,90.6,83.6,10.04,4.62,2154.707,-0.309,2.25,-33.5,6.8,23.8,37,518792,Jason Heyward,L,1,1,2016130371,2,FALSE,TRUE,TRUE,FALSE,201601710,chn,sln,Wrigley Field,bottom center,Changeup,high
593372,Carlos Martinez,R,0,0,1,1,Four-Seamer,Swinging Strike,Called Strike,Groundout,96.5,89.6,-0.59,9.71,2039.765,-0.106,1.552,0.7,2.9,23.8,55,518792,Jason Heyward,L,1,2,2016130391,5,FALSE,FALSE,FALSE,FALSE,201601710,chn,sln,Wrigley Field,low,none,none
593372,Carlos Martinez,R,0,1,1,2,Four-Seamer,Swinging Strike,Foul Ball,Groundout,97.9,90.7,-0.05,10.97,2327.232,0.295,1.292,-5.4,2.3,23.8,49,518792,Jason Heyward,L,1,2,2016130391,5,FALSE,FALSE,FALSE,FALSE,201601710,chn,sln,Wrigley Field,low,Four-Seamer,low
593372,Carlos Martinez,R,0,2,1,3,Four-Seamer,Ball,Ball,Groundout,95.8,89.6,-0.36,8.63,1823.991,-0.488,4.779,0.3,3,23.9,36,518792,Jason Heyward,L,1,2,2016130391,5,FALSE,FALSE,FALSE,FALSE,201601710,chn,sln,Wrigley Field,high,Four-Seamer,low
593372,Carlos Martinez,R,1,2,1,4,Slider,Swinging Strike,Swinging Strike,Groundout,87.5,82.4,2.76,-0.7,541.423,0.278,1.159,-8.9,8.3,23.9,41,518792,Jason Heyward,L,1,2,2016130391,5,FALSE,FALSE,FALSE,FALSE,201601710,chn,sln,Wrigley Field,low,Four-Seamer,high
593372,Carlos Martinez,R,0,0,0,1,Four-Seamer,"In Play, Out","In Play, Out",Single,95.8,88.7,-1.84,7.15,1529.756,-0.114,1.512,6.7,4.1,23.8,59,518792,Jason Heyward,L,2,1,2016130404,6,FALSE,FALSE,FALSE,FALSE,201601710,chn,sln,Wrigley Field,low,none,none
593372,Carlos Martinez,R,0,0,1,1,Four-Seamer,Swinging Strike,Called Strike,Strikeout,92,84.9,-1.06,8.1,1628.75,0.919,2.758,2.2,4,23.8,66,518792,Jason Heyward,L,0,3,2016165326,2,TRUE,FALSE,FALSE,FALSE,201602168,sln,chn,Busch Stadium,middle right,none,none
593372,Carlos Martinez,R,0,1,1,2,Slider,Swinging Strike,Foul Ball,Strikeout,86.8,80.3,3.05,-1.97,670.789,0.354,1.199,-8.8,9.1,23.8,24,518792,Jason Heyward,L,0,3,2016165326,2,TRUE,FALSE,FALSE,FALSE,201602168,sln,chn,Busch Stadium,low,Four-Seamer,middle right
