ab_id,ax,ay,az,b_count,b_score,break_angle,break_length,break_y,code,end_speed,nasty,on_1b,on_2b,on_3b,outs,pfx_x,pfx_z,pitch_num,pitch_type,px,pz,s_count,spin_dir,spin_rate,start_speed,sz_bot,sz_top,type,type_confidence,vx0,vy0,vz0,x,x0,y,y0,z0,zone
2015000001,7.665,34.685,-11.96,0,0,-25,3.2,23.7,C,84.1,55,FALSE,FALSE,FALSE,0,4.16,10.93,1,FF,0.416,2.963,0,159.235,2305.052,92.9,1.72,3.56,S,2,-6.409,-136.065,-3.995,101.14,2.28,158.78,50,5.302,3
2015000001,12.043,34.225,-10.085,0,0,-40.7,3.4,23.7,S,84.1,31,FALSE,FALSE,FALSE,0,6.57,12,2,FF,-0.191,2.347,1,151.402,2689.935,92.8,1.72,3.56,S,2,-8.411,-135.69,-5.98,124.28,2.119,175.41,50,5.307,5
2015000001,14.368,35.276,-11.56,0,0,-43.7,3.7,23.7,F,85.2,49,FALSE,FALSE,FALSE,0,7.61,10.88,3,FF,-0.518,3.284,2,145.125,2647.972,94.1,1.72,3.56,S,2,-9.802,-137.668,-3.337,136.74,2.127,150.11,50,5.313,1
2015000001,2.104,28.354,-20.54,0,0,-1.3,5,23.8,B,84,41,FALSE,FALSE,FALSE,0,1.17,6.45,4,FF,-0.641,1.221,2,169.751,1289.59,91,1.74,3.35,B,2,-8.071,-133.005,-6.567,109.685636,2.279,187.4634819,50,5.21,13
2015000001,-10.28,21.774,-34.111,1,0,18.4,12,23.8,B,69.6,18,FALSE,FALSE,FALSE,0,-8.43,-1.65,5,CU,-1.821,2.083,2,280.671,1374.569,75.4,1.72,3.56,B,2,-6.309,-110.409,0.325,146.5275252,2.179,177.2428288,50,5.557,13
2015000001,13.59,32.274,-10.333,2,0,-45.7,3.7,23.7,X,84.8,42,FALSE,FALSE,FALSE,0,7.32,11.72,6,FF,0.627,2.397,2,148.11,2743.856,92.9,1.72,3.56,X,2,-6.943,-136.012,-5.738,118.0047723,2.273,164.4670124,50,5.264,6
2015000002,14.549,31.469,-9.734,0,0,-46.3,3.6,23.7,B,85.3,80,FALSE,FALSE,FALSE,1,7.79,11.97,1,FF,-1.088,1.61,0,147.044,2848.535,93.3,1.59,3.45,B,2,-11.032,-136.208,-7.762,141.43,2.013,205.81,50,5.179,13
2015000002,-1.339,27.421,-19.326,1,0,7.3,4.8,23.8,D,82.4,39,FALSE,FALSE,FALSE,1,-0.77,7.38,2,FC,-0.257,2.047,0,185.948,1433.743,89.3,1.59,3.45,X,0.778,-6.335,-130.711,-4.611,186.41,2.298,182.54,50,5.284,7
2015000003,13.808,28.169,-11.591,0,0,-45,4,23.8,B,85,42,FALSE,TRUE,FALSE,1,7.46,11.09,1,FF,1.47,2.35,0,146.146,2666.09,92.1,1.89,3.46,B,2,-5.075,-134.873,-5.723,93.1,2.402,174.06,50,5.31,14
2015000003,1.218,28.828,-19.782,1,0,2,4.9,23.8,B,82,34,FALSE,TRUE,FALSE,1,0.71,7.18,2,FF,-1.337,1.898,0,174.388,1384.143,89.3,1.81,3.52,B,0.648,-9.239,-130.512,-4.904,135.8314928,2.165,182.9919462,50,5.302,13
2015000003,15.709,32.602,-15.243,2,0,-39,4.8,23.7,E,84.4,48,FALSE,TRUE,FALSE,1,8.56,9.19,3,FF,-0.286,1.83,0,137.145,2475.323,92.6,1.95,3.52,X,2,-9.247,-135.366,-6.13,116.8163242,2.08,165.744594,50,5.211,13
2015000004,17.411,26.452,-22.438,0,1,-34.4,6.3,23.8,F,83.7,40,TRUE,FALSE,FALSE,1,9.74,5.41,1,SI,0.2,2.643,0,119.214,2186.173,90.5,1.73,3.68,S,2,-8.704,-132.38,-2.685,109.38,2.253,167.42,50,5.301,5
2015000004,8.889,29.431,-13.79,0,1,-25.5,3.7,23.8,F,83,49,TRUE,FALSE,FALSE,1,5.02,10.33,2,FF,-0.741,2.93,1,154.197,2234.961,90.6,1.73,3.68,S,2,-8.801,-132.554,-3.666,145.25,1.977,159.67,50,5.343,11
2015000004,-6.127,19.641,-33.69,0,1,11.6,11,23.9,S,71.2,45,TRUE,FALSE,FALSE,1,-4.83,-1.25,3,CU,-0.711,1.971,2,283.898,818.89,76.3,1.73,3.68,S,2,-5.266,-111.822,-0.053,144.1,2.299,185.56,50,5.443,13
2015000005,8.804,27.829,-13.421,0,1,-23.8,3.6,23.8,B,84.5,55,TRUE,FALSE,FALSE,2,4.85,10.29,1,FF,-1.539,1.525,0,154.853,2248.792,91.6,1.68,3.57,B,2,-11.143,-133.652,-7.151,175.66,2.047,197.61,50,5.192,13
2015000005,11.942,30.614,-9.89,1,1,-40,3.3,23.8,F,85.3,62,TRUE,FALSE,FALSE,2,6.4,11.9,2,FF,-0.881,1.888,0,151.814,2697.793,93.1,1.68,3.57,S,2,-10.439,-135.959,-7.183,150.58,2.182,187.8,50,5.255,13
2015000005,10.656,28.744,-14.824,1,1,-30.3,4.1,23.8,F,83.8,25,TRUE,FALSE,FALSE,2,5.92,9.59,3,FF,0.096,2.794,1,148.444,2214.735,91.1,1.68,3.57,S,2,-7.273,-133.377,-3.73,113.34,2.089,163.34,50,5.28,5
2015000005,14.373,30.975,-14.596,1,1,-37.2,4.5,23.8,F,84.6,51,TRUE,FALSE,FALSE,2,7.83,9.53,4,FF,-0.365,1.518,2,140.729,2439.131,92.4,1.68,3.57,S,2,-9.375,-135.055,-7.179,130.91,2.144,197.79,50,5.248,13
2015000005,-1.244,26.386,-23.266,1,1,7,5.8,23.8,S,82.9,27,TRUE,FALSE,FALSE,2,-0.72,5.11,5,FC,-1.681,0.875,2,187.948,1000.504,89.3,1.68,3.57,S,0.763,-9.531,-130.424,-6.624,181.08,2.108,215.16,50,5.192,13
2015000006,-16.39,29.322,-18.593,0,0,38,6,23.8,B,82.2,48,FALSE,FALSE,FALSE,0,-9.49,7.82,1,SI,-1.585,1.72,0,230.354,2357.29,89.5,1.69,3.63,B,2,2.889,-131.001,-7.351,177.42,-1.474,192.34,50,5.967,13
2015000006,2.592,26.888,-20.916,1,0,-8.1,5.4,23.8,D,80.7,18,FALSE,FALSE,FALSE,0,1.56,6.73,2,FC,0.008,2.602,0,167.036,1307.695,87.5,1.69,3.97,X,2,2.704,-128.166,-4.912,116.7,-1.264,168.53,50,6.18,5
2015000007,-7.473,30.553,-14.589,0,0,21.7,3.9,23.8,F,84,41,FALSE,TRUE,FALSE,0,-4.13,9.67,1,FF,0.015,2.287,0,203.022,2067.215,91.6,1.61,3.59,S,2,4.558,-134.094,-7.333,116.43,-1.175,177.03,50,6.109,5
